Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Perplexity,coherence_u_mass,n_comp,Правдоподобие
2024-01-12 19:02:26,221ms,15ae50a1a9d5451c8234e8f22f66c956,result_images,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,,,,
2024-01-12 18:57:30,4.9min,1b79ab1655354ec4aeffa23d7b22c8bd,./data/phrases_prep_2.csv_CountVectorizer_2_147,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,10052.361,-17.261,147,-22174229.195
2024-01-12 18:52:36,4.9min,099e7a5bec5647afb9751386fd3f1399,./data/phrases_prep_2.csv_CountVectorizer_2_144,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,9866.294,-17.654,144,-22129274.176
2024-01-12 18:47:43,4.9min,85e2b05ce4ae4303b98b27f1dddd6321,./data/phrases_prep_2.csv_CountVectorizer_2_141,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,9586.756,-17.415,141,-22060116.615
2024-01-12 18:42:55,4.8min,877730ce72324a6298a1b3728255a1ae,./data/phrases_prep_2.csv_CountVectorizer_2_138,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,9375.192,-17.593,138,-22006421.532
2024-01-12 18:38:07,4.8min,7ff058b78a11443997a2fda5b6c177b9,./data/phrases_prep_2.csv_CountVectorizer_2_135,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,9260.748,-17.477,135,-21976868.542
2024-01-12 18:33:22,4.7min,2712cf28aa034ef79c6b0b1a03561923,./data/phrases_prep_2.csv_CountVectorizer_2_132,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,8962.743,-17.368,132,-21898166.19
2024-01-12 18:28:39,4.7min,9d783b6d97da40c4be061be9ee006ab2,./data/phrases_prep_2.csv_CountVectorizer_2_129,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,8597.188,-17.466,129,-21797970.466
2024-01-12 18:24:03,4.6min,e434a61e50b64af28403240152399f3e,./data/phrases_prep_2.csv_CountVectorizer_2_126,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,8195.967,-17.448,126,-21682972.401
2024-01-12 18:19:30,4.6min,8ecf137d65fb489c87bbe001ce577c3d,./data/phrases_prep_2.csv_CountVectorizer_2_123,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,7605.212,-17.369,123,-21502970.468
2024-01-12 18:14:59,4.5min,ef7c991043d8487686fb8098ec750bf6,./data/phrases_prep_2.csv_CountVectorizer_2_120,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,7229.44,-17.293,120,-21381044.202
