Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Perplexity,coherence_u_mass,n_comp,Правдоподобие
2024-01-11 21:33:12,183ms,d1a339db9d2f4eeaa0deb9ffc0735de1,result_images,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,,,,
2024-01-11 21:28:22,4.8min,202f70e5ade0470b859832e5415255d6,./data/phrases_prep_1.csv_CountVectorizer_1_147,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3627.666,-16.661,147,-22502326.602
2024-01-11 21:23:34,4.8min,e16b00238eec454aac1eeb2e996d6908,./data/phrases_prep_1.csv_CountVectorizer_1_144,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3494.08,-16.398,144,-22399320.677
2024-01-11 21:18:47,4.8min,729ffccab5f94ed69a31a25acd1090a3,./data/phrases_prep_1.csv_CountVectorizer_1_141,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3549.857,-16.515,141,-22442800.23
2024-01-11 21:14:03,4.7min,1d4ccdf4b5094cfead9a42b061754ce1,./data/phrases_prep_1.csv_CountVectorizer_1_138,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3534.927,-16.288,138,-22431229.528
2024-01-11 21:09:22,4.7min,85b2d8463be8431aa335f62e4531487f,./data/phrases_prep_1.csv_CountVectorizer_1_135,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3494.28,-16.154,135,-22399478.079
2024-01-11 21:04:42,4.7min,ef752a3e6bf545d7ad622c977d552708,./data/phrases_prep_1.csv_CountVectorizer_1_132,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3502.402,-16.09,132,-22405852.039
2024-01-11 21:00:04,4.6min,352bcd522b2841e48bb02d36acac1c1b,./data/phrases_prep_1.csv_CountVectorizer_1_129,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3455.723,-16.209,129,-22369016.146
2024-01-11 20:55:32,4.5min,7e3f62355c1346e4928f68ebf28731a7,./data/phrases_prep_1.csv_CountVectorizer_1_126,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3466.564,-16.292,126,-22377614.736
2024-01-11 20:51:03,4.5min,9d1ff1f3b8194778a7ce52ea38267889,./data/phrases_prep_1.csv_CountVectorizer_1_123,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3373.91,-15.792,123,-22303237.854
2024-01-11 20:46:37,4.4min,96fe873012e34e28998c50f7eafb6f47,./data/phrases_prep_1.csv_CountVectorizer_1_120,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3342.656,-15.976,120,-22277687.305
2024-01-11 20:42:12,4.4min,dabd52cb7e9548bda01cd1552c51a1fa,./data/phrases_prep_1.csv_CountVectorizer_1_117,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3336.513,-16.194,117,-22272637.211
2024-01-11 20:37:48,4.4min,8f79bd253483445396174dc85b532784,./data/phrases_prep_1.csv_CountVectorizer_1_114,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3311.334,-15.956,114,-22251840.12
2024-01-11 20:33:28,4.3min,680f6f2cfc7c4f82b71e5dd2f210dd32,./data/phrases_prep_1.csv_CountVectorizer_1_111,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3274.929,-15.757,111,-22221489.907
2024-01-11 20:29:09,4.3min,1b64c6d2ad544116ba4cd303ceecb687,./data/phrases_prep_1.csv_CountVectorizer_1_108,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3238.467,-15.728,108,-22190751.974
2024-01-11 20:24:52,4.3min,207f3da0edb44117978bf90ae2f0ee82,./data/phrases_prep_1.csv_CountVectorizer_1_105,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3257.794,-16.179,105,-22207087.52
2024-01-11 20:20:36,4.3min,0b2a47f083bc4ce4baa282209620937f,./data/phrases_prep_1.csv_CountVectorizer_1_102,LOCAL,modules\1_step - Choose vectorizer.py,Lev,FINISHED,3272.152,-15.753,102,-22219160.686
